PG.ProteinGroups	role	pair_id	partner_PG	expected_log2fc	n_precursors_used	n_peptides_used
P61313	up	11	O00244	1.6002063070919386	5	4
P61812	up	78	P19438	1.6029249774724148	8	8
P61960	down	67	P08236	-1.5978961808991752	4	4
P62195	up	37	Q9BXS4	1.6010118692826119	2	2
P62995	down	56	O43169	-1.6017214265138158	2	2
P68431;P84243;Q16695;Q71DI3	down	31	P60842;Q14240	-1.6008352045695897	2	2
P69891;P69892	down	58	Q9BWV1	-1.5982644610437946	9	8
P78357	up	39	Q9BT88	1.601045462081891	2	2
P84157	down	3	Q8N149	-1.6000588209437794	5	5
Q07021	down	93	Q8TDY2	-1.6035499290168742	2	2
Q07960	up	8	Q96BY9	1.6001735637973509	2	2
Q08945	down	4	O95025	-1.6000676869893535	2	2
Q10713	up	55	Q9NPG1	1.598291735801836	2	2
Q12913	down	82	Q9H251	-1.6029918869346433	12	12
Q13232	down	5	P23381	-1.5998767145919537	5	5
Q13356	down	102	Q99584	-1.6040106778479508	2	2
Q13361	down	96	A6NKN8	-1.6037822290434747	2	2
Q13555	down	48	P27348	-1.601497211435544	5	5
Q14213	down	77	P05019	-1.5971299274439348	3	3
Q15149	up	45	Q8IVN8	1.6014689893672278	5	5
Q15165	up	20	P06493	1.5994688140491395	4	3
Q15198	up	98	P21554	1.6038687807725287	3	3
Q15293	up	38	Q86VZ4	1.6010142296791106	15	14
Q15393	up	64	Q9NQ76	1.598007211406828	2	2
Q15465	down	1	Q6N022	-1.5999642854791984	7	7
Q15643	up	92	Q8N3Z0	1.5965005689640535	2	2
Q15819	down	104	P25686	-1.6042528030997634	2	2
Q15847	down	18	P55001	-1.6004418881867464	4	3
Q15848	down	86	P14854	-1.6032229378045963	2	2
Q15942	down	110	P05062	-1.604864942283613	2	2
Q16143	down	43	Q8IYR6	-1.5986684097455361	6	6
Q16352	up	15	P07478	1.5996894997724174	2	2
Q16663	down	107	Q96A32	-1.6043069913686572	2	2
Q16775	down	71	P26641	-1.6024479573610293	7	7
Q16819	down	57	P20929	-1.5982736182618567	2	2
Q16853	up	9	P15586	1.599814840916122	14	13
Q2TBF2	up	61	P29972	1.5981907667698456	2	2
Q5D862	up	21	Q7RTP6	1.5994627535387025	2	2
Q5JS37	up	35	A0M8Q6	1.5990497665970063	4	4
Q5T4S7	down	108	Q9P2W7	-1.5954903663017599	3	3
Q5UCC4	up	72	O75093	1.6025111282991658	8	6
Q6N022	up	1	Q15465	1.5999642854791984	7	7
Q6P4A8	up	90	Q9NWD8	1.6034467550793776	2	2
Q6UX15	up	94	Q9GZP1	1.6037256572238245	2	2
Q6ZN44	up	19	A0A0B4J2B8	1.6004925215721526	3	3
Q7L1I2	down	28	O95292	-1.600799437538054	2	2
Q7L985	down	68	O60469	-1.6021503867199445	3	3
Q7RTP6	down	21	Q5D862	-1.5994627535387025	2	2
Q7Z794	up	32	Q9UBV2	1.5991422560801274	4	4
Q86VZ4	down	38	Q15293	-1.6010142296791106	15	14
Q86Y37	down	26	P09496	-1.600769588764234	2	2
Q8IUL8	up	47	O00292	1.598508230026861	4	4
Q8IVN8	down	45	Q15149	-1.6014689893672278	5	5
Q8IWX8	up	40	P16284	1.6011276846370448	2	2
Q8IX05	down	13	P22223	-1.5997511575199241	4	4
Q8IYR6	up	43	Q16143	1.5986684097455361	6	6
Q8IZU9	up	109	P23434	1.6047736611207828	2	2
Q8N149	up	3	P84157	1.6000588209437794	5	5
Q8N3Z0	down	92	Q15643	-1.5965005689640535	2	2
Q8N6Q3	down	16	P01185	-1.6003387795675144	2	2
Q8NBI3	down	105	O60664	-1.6042784620409867	5	5
Q8NCM8	up	33	Q92973	1.6009225249060872	2	2
Q8NHJ6	down	60	P14778	-1.5981958671406495	3	3
Q8NHP8	down	66	P21399	-1.597957654268673	7	7
Q8TB96	up	87	Q9HD89	1.596734610313093	2	2
Q8TDY2	up	93	Q07021	1.6035499290168742	2	2
Q8WVF2	up	46	Q9UHA4	1.5985292912493594	2	2
Q92973	down	33	Q8NCM8	-1.6009225249060872	2	2
Q93070	up	65	P10720	1.6020035890405673	2	2
Q969Z0	up	7	P36897	1.5998467302473705	2	2
Q96A32	up	107	Q16663	1.6043069913686572	2	2
Q96BY9	down	8	Q07960	-1.6001735637973509	2	2
Q96DG6	up	6	Q9UGN4	1.5998632080188662	2	2
