Protein,Label
O75882,Negative
O75884,Negative
O75888,Negative
O75962,Negative
O75973,Negative
O75976,Negative
O76061,Negative
O76070,Negative
O76074,Negative
O76076,Negative
O94760,Negative
O94766,Negative
O94769,Negative
O94772,Negative
O94779,Negative
O94826,Negative
O94856,Negative
O94898,Negative
O94910,Negative
O94919,Negative
O94923,Negative
O94933,Negative
O94985,Negative
O94986,Negative
O94991,Negative
O95084,Negative
O95156,Negative
O95157,Negative
O95158,Negative
O95159,Negative
O95166;Q9H0R8,Negative
O95185,Negative
O95196,Negative
O95206,Negative
O95271;Q9H2K2,Negative
O95336,Negative
O95390,Negative
O95407,Negative
O95428,Negative
O95433,Negative
O95445,Negative
O95450,Negative
O95461,Negative
O95477,Negative
O95479,Negative
O95490,Negative
O95497,Negative
O95498,Negative
O95502,Negative
O95633,Negative
O95674,Negative
O95711,Negative
O95715,Negative
O95747,Negative
O95757,Negative
O95777,Negative
O95782,Negative
O95793,Negative
O95817,Negative
O95841,Negative
O95861,Negative
O95865,Negative
O95897,Negative
O95922,Negative
O95965,Negative
O95967,Negative
O95970,Negative
O95980,Negative
O95989,Negative
O95998,Negative
O96000,Negative
P00338,Negative
P00352,Negative
P00387,Negative
P00390,Negative
P00441,Negative
P00450,Negative
P00488,Negative
P00491,Negative
P00492,Negative
P00505,Negative
P00533,Negative
P00558,Negative
P00568,Negative
P00734,Negative
P00736,Negative
P00738,Negative
P00739,Negative
P00740,Negative
P00742,Negative
P00746,Negative
P00747,Negative
P00748,Negative
P00751,Negative
P00813,Negative
P00915,Negative
P00918,Negative
P01008,Negative
P01009,Negative
P01011,Negative
P01019,Negative
P01023,Negative
P01024,Negative
P01031,Negative
P01033,Negative
P01034,Negative
P01036;P01037,Negative
P01040,Negative
P01042,Negative
P01127,Negative
P01130,Negative
P01135,Negative
P01137,Negative
P01138,Negative
P01148,Negative
P01178,Negative
P01189,Negative
P01210,Negative
P01213,Negative
P01229,Negative
P01236,Negative
P01258,Negative
P01266,Negative
P01303,Negative
P01344,Negative
P01591,Negative
P01593;P01594,Negative
P01597;P04432,Negative
P01599,Negative
P01601,Negative
P01602,Negative
P01619,Negative
P01700,Negative
P01701,Negative
P01703,Negative
P01704,Negative
P01705,Negative
P01706,Negative
P01709,Negative
P01714,Negative
P01715,Negative
P01717,Negative
P01718,Negative
P01721,Negative
P01732,Negative
P01742,Negative
P01743,Negative
P01762,Negative
P01763,Negative
P01764,Negative
P01766,Negative
P01767,Negative
P01772,Negative
P01780,Negative
P01782,Negative
P01814,Negative
P01817,Negative
P01824,Negative
P01825,Negative
P01833,Negative
P01834,Negative
P01857,Negative
P01859,Negative
P01860,Negative
P01861,Negative
