Protein,Label
O43300,Negative
O43323,Negative
O43399,Negative
O43405,Negative
O43426,Negative
O43493,Negative
O43505,Negative
O43508,Negative
O43529,Negative
O43556,Negative
O43567,Negative
O43707,Negative
O43827,Negative
O43852,Negative
O43854,Negative
O43866,Negative
O43897,Negative
O43916,Negative
O60241,Negative
O60242,Negative
O60243,Negative
O60245,Negative
O60279,Negative
O60330,Negative
O60449,Negative
O60462,Negative
O60476,Negative
O60507,Negative
O60565,Negative
O60568,Negative
O60613,Negative
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,Negative
O60841,Negative
O60883,Negative
O60888,Negative
O60928,Negative
O60939,Negative
O75015,Negative
O75019,Negative
O75051,Negative
O75063,Negative
O75071,Negative
O75077,Negative
O75078,Negative
O75083,Negative
O75084,Negative
O75093,Negative
O75094,Negative
O75096,Negative
O75144,Negative
O75147,Negative
O75173,Negative
O75223,Negative
O75326,Negative
O75347,Negative
O75354,Negative
O75368,Negative
O75493,Negative
O75503,Negative
O75509,Negative
O75534,Negative
O75629,Negative
O75636,Negative
O75711,Negative
O75752,Negative
O75781,Negative
O75787,Negative
O75874,Negative
O75882,Negative
O75962,Negative
O75976,Negative
O76061,Negative
O76070,Negative
O94760,Negative
O94766,Negative
O94769,Negative
O94779,Negative
O94826,Negative
O94856,Negative
O94898,Negative
O94910,Negative
O94919,Negative
O94933,Negative
O94985,Negative
O94991,Negative
O95084,Negative
O95156,Negative
O95157,Negative
O95158,Negative
O95185,Negative
O95196,Negative
O95206,Negative
O95336,Negative
O95390,Negative
O95428,Negative
O95445,Negative
O95450,Negative
O95461,Negative
O95479,Negative
O95490,Negative
O95497,Negative
O95502,Negative
O95841,Negative
O95865,Negative
O95897,Negative
O95970,Negative
P00338,Negative
P00352,Negative
P00390,Negative
P00441,Negative
P00450,Negative
P00488,Negative
P00492,Negative
P00505,Negative
P00533,Negative
P00558,Negative
P00568,Negative
P00734,Negative
P00736,Negative
P00738,Negative
P00739,Negative
P00740,Negative
P00746,Negative
P00747,Negative
P00751,Negative
P00915,Negative
P00918,Negative
P00995,Negative
P01008,Negative
P01009,Negative
P01011,Negative
P01019,Negative
P01024,Negative
P01031,Negative
P01034,Negative
P01040,Negative
P01042,Negative
P01127,Negative
P01137,Negative
P01210,Negative
P01213,Negative
P01236,Negative
P01258,Negative
P01282,Negative
P01303,Negative
P01344,Negative
P01593;P01594,Negative
P01597;P04432,Negative
P01599,Negative
P01601,Negative
P01602,Negative
P01619,Negative
P01700,Negative
P01701,Negative
P01703,Negative
P01704,Negative
P01705,Negative
P01706,Negative
P01709,Negative
P01714,Negative
P01715,Negative
P01717,Negative
P01742,Negative
P01743,Negative
P01763,Negative
P01764,Negative
P01767,Negative
P01772,Negative
P01780,Negative
P01782,Negative
P01814,Negative
P01833,Negative
P01859,Negative
P01860,Negative
P01861,Negative
P01871,Negative
P01876,Negative
P01877,Negative
P01880,Negative
P01889,Negative
P01903,Negative
P01911,Negative
P02008,Negative
P02042,Negative
P02452,Negative
P02461,Negative
P02462,Negative
P02533,Negative
P02545,Negative
P02647,Negative
P02649,Negative
P02652,Negative
P02654,Negative
P02655,Negative
P02656,Negative
P02675,Negative
P02679,Negative
P02730,Negative
P02743,Negative
P02746,Negative
P02747,Negative
P02748,Negative
P02749,Negative
P02750,Negative
P02751,Negative
P02753,Negative
P02763,Negative
P02765,Negative
P02766,Negative
P02768,Negative
P02774,Negative
P02778,Negative
P02788,Negative
P02790,Negative
P02794,Negative
P03950,Negative
P03951,Negative
P03952,Negative
P04003,Negative
P04004,Negative
P04040,Negative
P04062,Negative
P04066,Negative
P04070,Negative
P04075,Negative
P04080,Negative
P04083,Negative
P04085,Negative
P04114,Negative
P04156,Negative
P04179,Negative
P04180,Negative
P04181,Negative
P04196,Negative
P04211,Negative
P04217,Negative
P04233,Negative
P04264,Negative
P04271,Negative
P04278,Negative
P04350,Negative
P04406,Negative
P04430,Negative
P04433,Negative
P04439,Negative
P04792,Negative
P04839,Negative
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,Negative
P05023,Negative
P05026,Negative
P05060,Negative
P05067,Negative
P05090,Negative
P05107,Negative
P05109,Negative
P05121,Negative
P05154,Negative
P05155,Negative
P05156,Negative
P05160,Negative
P05362,Negative
P05408,Negative
P05451,Negative
P05452,Negative
P05455,Negative
P05543,Negative
P05546,Negative
P05556,Negative
P05937,Negative
P05976,Negative
P05997,Negative
P06276,Negative
P06280,Negative
P06307,Negative
P06310,Negative
P06312,Negative
P06331,Negative
P06493,Negative
P06681,Negative
P06702,Negative
P06703,Negative
P06727,Negative
P06732,Negative
P06733,Negative
P06744,Negative
P06753,Negative
P06858,Negative
P06865,Negative
P07093,Negative
P07148,Negative
P07196,Negative
P07225,Negative
P07237,Negative
P07311,Negative
P07333,Negative
P07339,Negative
P07355,Negative
P07357,Negative
P07358,Negative
P07360,Negative
P07451,Negative
P07492,Negative
P07585,Negative
P07602,Negative
P07686,Negative
P07711,Negative
P07858,Negative
P07942,Negative
P07951,Negative
P07996,Negative
P08123,Negative
P08174,Negative
P08185,Negative
P08195,Negative
P08236,Negative
P08238,Negative
P08246,Negative
P08253,Negative
P08397,Negative
P08493,Negative
P08571,Negative
P08572,Negative
P08581,Negative
P08582,Negative
P08603,Negative
P08637,Negative
P08670,Negative
P08697,Negative
P08758,Negative
P08887,Negative
P08949,Negative
P09104,Negative
P09172,Negative
P09211,Negative
P09382,Negative
P09417,Negative
P09429,Negative
P09486,Negative
P09493,Negative
P09529,Negative
P09603,Negative
P09619,Negative
P09651,Negative
P09668,Negative
P09871,Negative
P09936,Negative
P09958,Negative
P09972,Negative
P0C0L4,Negative
P0C0L5,Negative
P0DJI8,Negative
P0DMQ5,Negative
P0DMV8;P0DMV9,Negative
P0DOY2;P0DOY3,Negative
P0DP01,Negative
P0DP02,Negative
P0DP08,Negative
P0DP23;P0DP24;P0DP25,Negative
P0DP58,Negative
P0DTE1,Negative
P10124,Negative
P10153,Negative
P10253,Negative
P10321,Negative
P10451,Negative
P10586,Negative
P10619,Negative
P10644,Negative
P10645,Negative
P10646,Negative
P10721,Negative
P10745,Negative
P10768,Negative
P10909,Negative
P10915,Negative
P11021,Negative
P11047,Negative
P11117,Negative
P11142,Negative
P11215,Negative
P11226,Negative
P11279,Negative
P11597,Negative
P11717,Negative
P12109,Negative
P12110,Negative
P12111,Negative
P12259,Negative
P12272,Negative
P12318,Negative
P12532,Negative
P12814,Negative
P12821,Negative
P12830,Negative
P12882,Negative
P12883,Negative
P12955,Negative
P13284,Negative
P13473,Negative
P13489,Negative
P13497,Negative
P13521,Negative
P13591,Negative
P13611,Negative
P13639,Negative
P13645,Negative
P13647,Negative
P13667,Negative
P13671,Negative
P13693,Negative
P13747,Negative
P13796,Negative
P13797,Negative
P13929,Negative
P13987,Negative
P14136,Negative
P14138,Negative
P14151,Negative
P14174,Negative
P14209,Negative
P14314,Negative
P14324,Negative
P14384,Negative
P14550,Negative
P14618,Negative
P14621,Negative
P14625,Negative
P14867;P34903;P47869,Negative
P15086,Negative
P15090,Negative
P15121,Negative
P15144,Negative
P15151,Negative
P15153,Negative
P15169,Negative
P15170;Q8IYD1,Negative
P15260,Negative
P15289,Negative
P15291,Negative
P15311,Negative
P15328,Negative
P15502,Negative
P15509,Negative
P15529,Negative
P15586,Negative
P15692,Negative
P15814,Negative
P16035,Negative
P16070,Negative
P16083,Negative
P16112,Negative
P16278,Negative
P16284,Negative
P16442,Negative
P16519,Negative
P16870,Negative
P16930,Negative
P16949,Negative
P17050,Negative
P17174,Negative
P17181,Negative
P17405,Negative
P17600,Negative
P17677,Negative
P17813,Negative
P17844,Negative
P17900,Negative
P17931,Negative
P17936,Negative
P18065,Negative
P18206,Negative
P18428,Negative
P18509,Negative
P18669,Negative
P19021,Negative
P19022,Negative
P19256,Negative
P19320,Negative
P19652,Negative
P19784,Negative
P19823,Negative
P19827,Negative
P19835,Negative
P19961,Negative
P20138,Negative
P20338,Negative
P20339;P51148;P61020,Negative
P20340;Q9NRW1,Negative
P20366,Negative
P20382,Negative
P20472,Negative
P20618,Negative
P20742,Negative
P20774,Negative
P20827,Negative
P20851,Negative
P20908,Negative
P20916,Negative
P20933,Negative
P21291,Negative
P21333,Negative
P21453,Negative
P21554,Negative
P21579,Negative
P21709,Negative
P21802,Negative
P21810,Negative
P21860,Negative
P21926,Negative
P22004,Negative
P22061,Negative
P22090;P62701,Negative
P22105,Negative
P22303,Negative
P22304,Negative
P22314,Negative
P22352,Negative
P22392,Negative
P22607,Negative
P22626,Negative
P22676,Negative
P22692,Negative
P22748,Negative
P22792,Negative
P22891,Negative
P23083,Negative
P23142,Negative
P23229,Negative
P23284,Negative
P23297,Negative
P23381,Negative
P23468,Negative
P23470,Negative
P23471,Negative
P23515,Negative
P23528,Negative
P23560,Negative
P23582,Negative
P24043,Negative
P24387,Negative
P24588,Negative
P24592,Negative
P24593,Negative
P24821,Negative
P25391,Negative
P25713,Negative
P25774,Negative
P25786,Negative
P25789,Negative
P26038,Negative
P26572,Negative
P26583,Negative
P26641,Negative
P26885,Negative
P26927,Negative
P26992,Negative
P27169,Negative
P27348,Negative
P27361,Negative
P27487,Negative
P27797,Negative
P27824,Negative
P27918,Negative
P28074,Negative
P28161,Negative
P28799,Negative
P28827,Negative
P29120,Negative
P29122,Negative
P29218,Negative
P29323,Negative
P29401,Negative
P29622,Negative
P29762,Negative
P29966,Negative
P29972,Negative
P30041,Negative
P30043,Negative
P30046,Negative
P30047,Negative
P30048,Negative
P30050,Negative
P30086,Negative
P30101,Negative
P30530,Negative
P30740,Negative
P30990,Negative
P31146,Negative
P31150,Negative
P31153,Negative
P31689,Negative
P31946,Negative
P31949,Negative
P32004,Negative
P32119,Negative
P33151,Negative
P33908,Negative
P33991,Negative
P33993,Negative
P34059,Negative
P34949,Negative
P35052,Negative
P35080,Negative
P35237,Negative
P35241,Negative
P35318,Negative
P35442,Negative
P35443,Negative
P35475,Negative
P35527,Negative
P35542,Negative
P35555,Negative
P35590,Negative
P35613,Negative
P35749,Negative
P35858,Negative
P35908,Negative
P35968,Negative
P36222,Negative
P36578,Negative
P36871,Negative
P36896,Negative
P36955,Negative
P36957,Negative
P37173,Negative
P37802,Negative
P37837,Negative
P37840,Negative
P38571,Negative
P39059,Negative
P39060,Negative
P40121,Negative
P40189,Negative
P40818,Negative
P40925,Negative
P41222,Negative
P41252,Negative
P42262,Negative
P42658,Negative
P42857,Negative
P43004,Negative
P43034,Negative
P43121,Negative
P43146,Negative
P43234,Negative
P43251,Negative
P43652,Negative
P46459,Negative
P46531,Negative
P47756,Negative
P47972,Negative
P48058,Negative
P48061,Negative
P48163,Negative
P48539,Negative
P48637,Negative
P48723,Negative
P48740,Negative
P48745,Negative
P48960,Negative
P49006,Negative
P49257,Negative
P49418,Negative
P49641,Negative
P49747,Negative
P49862,Negative
P49913,Negative
P49915,Negative
P50053,Negative
P50238,Negative
P50281,Negative
P50395,Negative
P50453,Negative
P50502,Negative
P50895,Negative
P50897,Negative
P50990,Negative
P50993,Negative
P51511,Negative
P51512,Negative
P51674,Negative
P51693,Negative
P51884,Negative
P51888,Negative
P51991,Negative
P52565,Negative
P52566,Negative
P52758,Negative
P52799,Negative
P52803,Negative
P52848,Negative
P52907,Negative
P52943,Negative
P53041,Negative
P53634,Negative
P54108,Negative
P54289,Negative
P54652,Negative
P54709,Negative
P54725,Negative
P54727,Negative
P54753,Negative
P54756,Negative
P54764,Negative
P54802,Negative
P55011,Negative
P55058,Negative
P55072,Negative
P55083,Negative
P55087,Negative
P55196,Negative
P55268,Negative
P55283,Negative
P55285,Negative
P55286,Negative
P55287,Negative
P55290,Negative
P55291,Negative
P55327,Negative
P55786,Negative
P55854;P61956;Q6EEV6,Negative
