R.FileName,Condition,BioReplicate,Order,Label
20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_01,Condition1,14,3,Good
20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_02,Condition1,13,4,Good
20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_03,Condition1,10,5,Good
20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_01,Condition2,11,8,Good
20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_02,Condition2,15,9,Good
20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_03,Condition2,12,10,Good
